Round,Date,Team1,FThome,FTaway,HThome,HTaway, Team2,,1,2,Description
12,(Sat) 18 Nov 2017 (46),Crystal Palace FC,2,2,2,2,Everton FC,,Crystal Palace FC,Everton FC,Crystal Palace FC  Vs. Everton FC
12,(Sat) 18 Nov 2017 (46),Leicester City FC,0,2,0,1,Manchester City FC,,Leicester City FC,Manchester City FC,Leicester City FC  Vs. Manchester City FC
12,(Sat) 18 Nov 2017 (46),Liverpool FC,3,0,2,0,Southampton FC,,Liverpool FC,Southampton FC,Liverpool FC  Vs. Southampton FC
12,(Sat) 18 Nov 2017 (46),Manchester United FC,4,1,2,1,Newcastle United FC,,Manchester United FC,Newcastle United FC,Manchester United FC  Vs. Newcastle United FC
12,(Sat) 18 Nov 2017 (46),West Bromwich Albion FC,0,4,0,3,Chelsea FC,,West Bromwich Albion FC,Chelsea FC,West Bromwich Albion FC  Vs. Chelsea FC
12,(Sun) 19 Nov 2017 (46),Watford FC,2,0,1,0,West Ham United FC,,Watford FC,West Ham United FC,Watford FC  Vs. West Ham United FC
12,(Mon) 20 Nov 2017 (47),Brighton & Hove Albion FC,2,2,1,2,Stoke City FC,,Brighton & Hove Albion FC,Stoke City FC,Brighton & Hove Albion FC  Vs. Stoke City FC
13,(Fri) 24 Nov 2017 (47),West Ham United FC,1,1,1,1,Leicester City FC,,West Ham United FC,Leicester City FC,West Ham United FC  Vs. Leicester City FC
13,(Sat) 25 Nov 2017 (47),Crystal Palace FC,2,1,0,0,Stoke City FC,,Crystal Palace FC,Stoke City FC,Crystal Palace FC  Vs. Stoke City FC
13,(Sat) 25 Nov 2017 (47),Liverpool FC,1,1,0,0,Chelsea FC,,Liverpool FC,Chelsea FC,Liverpool FC  Vs. Chelsea FC
13,(Sat) 25 Nov 2017 (47),Manchester United FC,1,0,0,0,Brighton & Hove Albion FC,,Manchester United FC,Brighton & Hove Albion FC,Manchester United FC  Vs. Brighton & Hove Albion FC
13,(Sat) 25 Nov 2017 (47),Newcastle United FC,0,3,0,2,Watford FC,,Newcastle United FC,Watford FC,Newcastle United FC  Vs. Watford FC
13,(Sat) 25 Nov 2017 (47),Swansea City AFC,0,0,0,0,AFC Bournemouth,,Swansea City AFC,AFC Bournemouth,Swansea City AFC  Vs. AFC Bournemouth
13,(Sat) 25 Nov 2017 (47),Tottenham Hotspur FC,1,1,0,1,West Bromwich Albion FC,,Tottenham Hotspur FC,West Bromwich Albion FC,Tottenham Hotspur FC  Vs. West Bromwich Albion FC
13,(Sun) 26 Nov 2017 (47),Burnley FC,0,1,0,0,Arsenal FC,,Burnley FC,Arsenal FC,Burnley FC  Vs. Arsenal FC
13,(Sun) 26 Nov 2017 (47),Huddersfield Town AFC,1,2,1,0,Manchester City FC,,Huddersfield Town AFC,Manchester City FC,Huddersfield Town AFC  Vs. Manchester City FC
13,(Sun) 26 Nov 2017 (47),Southampton FC,4,1,1,1,Everton FC,,Southampton FC,Everton FC,Southampton FC  Vs. Everton FC
14,(Tue) 28 Nov 2017 (48),Brighton & Hove Albion FC,0,0,0,0,Crystal Palace FC,,Brighton & Hove Albion FC,Crystal Palace FC,Brighton & Hove Albion FC  Vs. Crystal Palace FC
14,(Tue) 28 Nov 2017 (48),Leicester City FC,2,1,2,0,Tottenham Hotspur FC,,Leicester City FC,Tottenham Hotspur FC,Leicester City FC  Vs. Tottenham Hotspur FC
14,(Tue) 28 Nov 2017 (48),Watford FC,2,4,0,3,Manchester United FC,,Watford FC,Manchester United FC,Watford FC  Vs. Manchester United FC
14,(Tue) 28 Nov 2017 (48),West Bromwich Albion FC,2,2,1,0,Newcastle United FC,,West Bromwich Albion FC,Newcastle United FC,West Bromwich Albion FC  Vs. Newcastle United FC
14,(Wed) 29 Nov 2017 (48),Arsenal FC,5,0,1,0,Huddersfield Town AFC,,Arsenal FC,Huddersfield Town AFC,Arsenal FC  Vs. Huddersfield Town AFC
14,(Wed) 29 Nov 2017 (48),AFC Bournemouth,1,2,0,1,Burnley FC,,AFC Bournemouth,Burnley FC,AFC Bournemouth  Vs. Burnley FC
14,(Wed) 29 Nov 2017 (48),Chelsea FC,1,0,0,0,Swansea City AFC,,Chelsea FC,Swansea City AFC,Chelsea FC  Vs. Swansea City AFC
14,(Wed) 29 Nov 2017 (48),Everton FC,4,0,2,0,West Ham United FC,,Everton FC,West Ham United FC,Everton FC  Vs. West Ham United FC
14,(Wed) 29 Nov 2017 (48),Manchester City FC,2,1,0,0,Southampton FC,,Manchester City FC,Southampton FC,Manchester City FC  Vs. Southampton FC
14,(Wed) 29 Nov 2017 (48),Stoke City FC,0,3,0,1,Liverpool FC,,Stoke City FC,Liverpool FC,Stoke City FC  Vs. Liverpool FC
15,(Sat) 2 Dec 2017 (48),Arsenal FC,1,3,0,2,Manchester United FC,,Arsenal FC,Manchester United FC,Arsenal FC  Vs. Manchester United FC
15,(Sat) 2 Dec 2017 (48),Brighton & Hove Albion FCs,1,5,0,2,Liverpool FC,,Brighton & Hove Albion FCs,Liverpool FC,Brighton & Hove Albion FCs  Vs. Liverpool FC
15,(Sat) 2 Dec 2017 (48),Chelsea FC,3,1,2,1,Newcastle United FC,,Chelsea FC,Newcastle United FC,Chelsea FC  Vs. Newcastle United FC
15,(Sat) 2 Dec 2017 (48),Everton FC,2,0,0,0,Huddersfield Town AFC,,Everton FC,Huddersfield Town AFC,Everton FC  Vs. Huddersfield Town AFC
15,(Sat) 2 Dec 2017 (48),Leicester City FC,1,0,1,0,Burnley FC,,Leicester City FC,Burnley FC,Leicester City FC  Vs. Burnley FC
15,(Sat) 2 Dec 2017 (48),Stoke City FC,2,1,2,1,Swansea City AFC,,Stoke City FC,Swansea City AFC,Stoke City FC  Vs. Swansea City AFC
15,(Sat) 2 Dec 2017 (48),Watford FC,1,1,11,1,Tottenham Hotspur FC,,Watford FC,Tottenham Hotspur FC,Watford FC  Vs. Tottenham Hotspur FC
15,(Sat) 2 Dec 2017 (48),West Bromwich Albion FC,0,0,0,0,Crystal Palace FC,,West Bromwich Albion FC,Crystal Palace FC,West Bromwich Albion FC  Vs. Crystal Palace FC
15,(Sun) 3 Dec 2017 (48),AFC Bournemouth,1,1,1,0,Southampton FC,,AFC Bournemouth,Southampton FC,AFC Bournemouth  Vs. Southampton FC
